gen,nevals,Avg,Std,Min,MinTotal,Max
836,52,20.32,92.68267151954568,4.0,4800.0,549.0
837,61,9.5,54.0219399873792,4.0,4800.0,547.0
838,41,9.53,53.7184242136718,4.0,4800.0,544.0
839,48,20.31,92.62577341107605,3.0,3600.0,548.0
840,54,25.77,106.39603893002787,3.0,3600.0,548.0
841,50,4.0,0.2,3.0,3600.0,5.0
842,59,9.36,53.93561346642867,3.0,3600.0,546.0
843,44,9.28,54.04647629586964,3.0,3600.0,547.0
844,57,41.49,158.4609412442069,3.0,3600.0,1090.0
845,50,19.42,92.43107486121755,3.0,3600.0,545.0
846,52,3.07,0.3536947836765479,3.0,3600.0,6.0
847,69,24.81,131.1251078169242,3.0,3600.0,1088.0
848,49,35.66,150.1436125847517,3.0,3600.0,1090.0
849,50,8.5,53.92151704097354,3.0,3600.0,545.0
850,51,13.96,76.07810723197574,3.0,3600.0,547.0
851,55,24.75,106.34898918184413,3.0,3600.0,546.0
852,54,13.91,107.95073830224598,3.0,3600.0,1088.0
853,52,3.02,0.13999999999999999,3.0,3600.0,4.0
854,58,13.95,76.00886461459609,3.0,3600.0,547.0
855,48,8.5,54.02212509703779,3.0,3600.0,546.0
856,53,13.97,76.07765177764097,3.0,3600.0,547.0
857,55,3.08,0.4166533331199932,3.0,3600.0,6.0
858,52,19.31,120.13781211591957,3.0,3600.0,1087.0
859,53,19.34,92.62053983863407,3.0,3600.0,546.0
860,49,8.48,53.92392418954688,3.0,3600.0,545.0
861,54,19.31,92.62566544970137,3.0,3600.0,547.0
862,65,19.36,92.55890232711276,3.0,3600.0,546.0
863,52,35.68,185.4164437152218,3.0,3600.0,1633.0
864,60,13.98,76.00539191399514,3.0,3600.0,546.0
865,57,13.85,75.87863665090457,3.0,3600.0,545.0
866,66,3.03,0.2984962311319859,3.0,3600.0,6.0
867,59,30.17,118.43150383238408,3.0,3600.0,548.0
868,62,19.35,92.50193241224748,3.0,3600.0,546.0
869,47,8.49,53.92244337935738,3.0,3600.0,545.0
870,54,13.89,75.94470290941956,3.0,3600.0,546.0
871,56,8.56,54.01709359082551,3.0,3600.0,546.0
872,57,8.51,54.02138372903827,3.0,3600.0,546.0
873,63,13.9,76.01480119029453,3.0,3600.0,547.0
874,71,13.96,76.08007886431241,3.0,3600.0,548.0
875,55,30.2,140.98950315537684,3.0,3600.0,1088.0
876,63,13.94,76.0811172368019,3.0,3600.0,548.0
877,58,3.06,0.3411744421846396,3.0,3600.0,5.0
878,60,19.32,92.79955603342074,3.0,3600.0,548.0
879,54,8.5,54.12310042856008,3.0,3600.0,547.0
880,63,3.05,0.2958039891549808,3.0,3600.0,5.0
881,57,8.48,53.92336784734424,3.0,3600.0,545.0
882,48,8.47,54.02470823613954,3.0,3600.0,546.0
883,74,3.12,0.5878775382679627,3.0,3600.0,8.0
884,47,24.76,131.25708514209813,3.0,3600.0,1088.0
885,44,3.08,0.3919183588453085,3.0,3600.0,5.0
886,59,8.52,53.92002967358233,3.0,3600.0,545.0
887,45,8.5,54.32283129587411,3.0,3600.0,549.0
888,70,13.92,76.15466893106424,3.0,3600.0,548.0
889,54,19.28,120.1867779749503,3.0,3600.0,1088.0
890,55,8.58,54.01762305026019,3.0,3600.0,546.0
891,50,8.45,53.9257591508919,3.0,3600.0,545.0
892,60,3.1,0.5385164807134505,3.0,3600.0,7.0
893,57,30.24,140.94382710853282,2.0,2400.0,1088.0
894,47,13.85,75.95082290535106,2.0,2400.0,546.0
895,51,13.84,76.09621804005766,2.0,2400.0,547.0
896,43,13.66,75.90931695121488,2.0,2400.0,545.0
897,57,2.44,0.5885575587824864,2.0,2400.0,5.0
898,65,23.88,130.8656777004574,2.0,2400.0,1085.0
899,63,12.98,76.14669789294872,2.0,2400.0,546.0
900,59,12.93,76.01174317169686,2.0,2400.0,546.0
901,57,2.12,0.515363949069005,2.0,2400.0,5.0
902,51,2.04,0.2416609194718914,2.0,2400.0,4.0
903,66,23.75,131.3000666412626,2.0,2400.0,1090.0
904,58,18.31,120.36325809814217,2.0,2400.0,1088.0
905,45,7.52,54.02249161229053,2.0,2400.0,545.0
906,49,12.94,108.24923279173855,2.0,2400.0,1090.0
907,59,18.3,92.68597520660823,2.0,2400.0,547.0
908,48,12.83,75.81029679403716,2.0,2400.0,545.0
909,44,2.03,0.2215851980616034,2.0,2400.0,4.0
910,55,18.43,92.78149114990555,2.0,2400.0,547.0
911,53,40.03,158.36460810420996,2.0,2400.0,1088.0
912,51,2.01,0.09949874371066199,2.0,2400.0,3.0
913,64,7.47,54.024708236139546,2.0,2400.0,545.0
914,52,12.9,107.95151689531743,2.0,2400.0,1087.0
915,43,7.44,54.12750132788323,1.0,1200.0,546.0
916,67,12.85,76.0224144578426,1.0,1200.0,546.0
917,52,1.89,0.5458021619598076,1.0,1200.0,5.0
918,47,17.93,92.4594240734821,1.0,1200.0,544.0
919,58,23.05,106.49350919187516,1.0,1200.0,547.0
920,65,11.94,76.0091862869219,1.0,1200.0,544.0
921,49,6.51,54.02138372903826,1.0,1200.0,544.0
922,53,1.1,0.4358898943540674,1.0,1200.0,4.0
923,53,22.68,130.89750799766963,1.0,1200.0,1084.0
924,48,6.49,54.02267949667066,1.0,1200.0,544.0
925,50,6.45,53.92557371043911,1.0,1200.0,543.0
926,54,11.88,76.01740327056689,1.0,1200.0,545.0
927,44,11.91,76.08470214175777,1.0,1200.0,545.0
928,54,17.35,120.1778993825404,1.0,1200.0,1085.0
929,66,11.88,76.08893217807696,1.0,1200.0,546.0
930,57,22.79,106.44325201721341,1.0,1200.0,545.0
931,62,6.52,54.020825613831555,1.0,1200.0,544.0
932,55,6.45,53.9255737104391,1.0,1200.0,543.0
933,61,11.93,76.01082225578146,1.0,1200.0,545.0
934,48,6.54,54.01951869463484,1.0,1200.0,544.0
935,53,1.09,0.42649736224272244,1.0,1200.0,4.0
936,52,6.48,54.12420530594421,1.0,1200.0,545.0
937,53,6.48,54.224252876365185,1.0,1200.0,546.0
938,57,6.55,54.11790369184674,1.0,1200.0,545.0
939,50,6.48,53.92299694935362,1.0,1200.0,543.0
940,60,11.96,76.29205987519276,1.0,1200.0,546.0
941,48,11.92,76.01245687385719,1.0,1200.0,545.0
942,47,12.03,76.4984254739926,1.0,1200.0,551.0
943,42,1.06,0.31048349392520047,1.0,1200.0,3.0
944,45,11.89,76.08730446007402,1.0,1200.0,545.0
945,54,1.08,0.3655133376499413,1.0,1200.0,3.0
946,52,22.67,130.89927845484866,1.0,1200.0,1085.0
947,65,1.05,0.3570714214271424,1.0,1200.0,4.0
948,62,1.1,0.5000000000000001,1.0,1200.0,5.0
949,55,17.35,120.40335335861707,1.0,1200.0,1088.0
950,42,6.44,53.926676144557646,1.0,1200.0,543.0
951,47,6.48,54.02378735335017,1.0,1200.0,544.0
952,62,28.13,160.38844440919053,1.0,1200.0,1086.0
953,60,1.06,0.3104834939252005,1.0,1200.0,3.0
954,46,11.92,76.08346469503081,1.0,1200.0,545.0
955,46,1.04,0.24166091947189142,1.0,1200.0,3.0
956,62,11.94,76.15311155822852,1.0,1200.0,547.0
957,53,6.49,54.12383855566788,1.0,1200.0,545.0
958,50,6.47,53.92484677771465,1.0,1200.0,543.0
959,64,11.93,76.082094476953,1.0,1200.0,545.0
960,65,28.15,118.16093897731182,1.0,1200.0,544.0
961,56,44.51,147.32912101821555,1.0,1200.0,546.0
962,50,17.38,92.55536505249172,1.0,1200.0,545.0
963,60,6.55,54.118088473263725,1.0,1200.0,545.0
964,57,1.05,0.3278719262150999,1.0,1200.0,4.0
965,61,28.13,140.88702246835936,1.0,1200.0,1086.0
966,41,33.62,150.00765180483296,1.0,1200.0,1085.0
967,57,11.89,75.94470290941958,1.0,1200.0,544.0
968,61,6.49,54.02249438891176,1.0,1200.0,544.0
969,54,22.74,106.3001053621303,1.0,1200.0,544.0
